Num,Exercise Name,Subtitle,Level,Reps,Works,Benefits,Imagery,Placement,Movement,Breath,Tips,Caution,QR,
1,Second position 2 heels up |  Left,,2,10,"Works: Calves, Quads, feet and ankles`","Benifits: Enhances balance, strengthens calves and ankles, functional movement","Picture yourself riding smoothly up an elevator- no bounccing or woddling, just a clean glide straight up.",Placement,Movement,,,,,
2,Side bend 3 |  Right,,2,10,"Works: Shoulder stabilizers, obliques, and core ","Benifits:Strenghend shoulders, toned the side body, increases flexibility",Feel your side body stretch like an accordion ipening then power it closedas you press the wall.,Stand with your back against the wall in neutral spine,Movement,,,,,
3,Misc 2   |  Toe Taps,,1,10,strengthes the deep core,Low impact safe and effective         ,"Picture yourself riding smoothly up an elevator- no bounccing or woddling, just a clean glide straight up.","Wide stance, feet wider than your hips","Breath
Inhale to go into side bend.
Exhale to push away from wall",Breath,,,,
4,Corkscrew 1  |  Modified,,1,,"Works: abs, shoulders,quads ","Works: abs, shoulders,quads Improves pelvic stabilty, Builds coordination Encourages body awareness ",Paint a crescent moon with your knees . Think of your knees as a paint brush and the ceiling as your canvas.,"Placement
Lying on your back in neutral spine
Hands on the wall about 6 inche’s from the floor
Legs at tabletop glued together","From the deepest point of  side bend, push yourself away from the wallto stand tall ,with your arms to the side.",Inhale to go into side bend.,"Keep strong connection through your center and focus on deep activation rather than speed, maintaining a neutral pelvis and shoulders quietly down the back. Move with precision and control so the pelvis stays still as the legs lower and lift, allowing the lower abdominals to work instead of the hip flexors.",,,
5,,Heel Raises 1 |  Left,1,10,"Works: calves, ankles, core",Builds ankle and calf strenght Supports balance Preps the feet and ankles for more dynamic movme,Imagine your feet like roots of a tree. As you lift your heels feel your body growing taller like branches reaching for the sun.,"Weight is distributed across the base of your big toe, pinky toe, and heel.",Lift heels    3 Hold at the top 4 Lower heels down,"Breath
nhale to prepare
Exhale to lift up
Inhale to drop heels down","Tips:Move with purposeful control as you lift and lower, creating a strong connection through your glutes and abdominals to support the rise, staying tall and balanced throughout the movement.","Maintain alignment through your ankles, knees, and hips as you lift; avoid rolling out or collapsing inward, and lower with control to preserve joint integrity and prevent strain.",,
6,Ad - Abduction 1  |  Basic,,1,10,"Works: calves, ankles, core
 Builds ankle and calf strenght Supports balance Preps the feet and ankles for more dynamic movments: ","
 Builds ankle and calf strenght Supports balance Preps the feet and ankles for more dynamic movments: ",Let your leg sweep like its drawing a line in soft sand.Gently brushing in and out.,"Placement
Standing in neutral spine facing the wall. Legs are parallel hip width apart.
Weight is distributed across the base of your big toe,pinky toe,and heel. Hands are shoulder height ,with elbows bent.","Movement
Engage your core
Bring right leg in crossing midline.
Bring leg out to the side","Breath
Exhale as you cross midline
Inhale to bring leg out to yhe side.",,,,
7,combo 1,,,,, ,,,,,,,,
8,Leg Curls  |  Right,,1,10,"Works: Hamstrings, Gluts, Core Benifts: Strenghtens back of legs, improves knee staility, enhances  balance
"," Benifts: Strenghtens back of legs, improves knee staility, enhances  balance
",Imagine your squeezing a sponge behind your knee-as your heel curls up you press into the sponge squeesind the sponge dry.,"Placement
Standing facing the wall, in neutral spine.Feet are paraelle hip width apart.
Weight evenly distribated under big toe,pinkey toe,and heel.
Hands on wall shoulder height, with elbows slightly bent","Movement
Stand tall, shift your weight to your standing leg.
Lift your other heel touching your heel to your glute. Aluternate sides","Breath
Inhale as you stand tall
Exhale as you lift the heel  Inhale as you drop the heel
","Tips:  Stand tall with a steady pelvis and strong core activation.
Move with control and precision, prioritizing clear hamstring connection.
Keep your shoulders quietly down the back and your standing leg grounded for stability.",Caution: Avoid swinging or using momentum; stay intentional with each curl and monitor pelvic stability so the hips and lower back don’t feel any strain.,,
9,,,1,,,,,,,,,,,
10,Marching 1 |  Right,,1,20,"Works: Core, Hip flexers, Calves and foot stabilizers",,"Imagine your foot is lifting out of a shallow puddle. Like a soft suction, as you lift the leg up","Placement
Standing facing the wall, in neutral spine.
Legs are parallel hip width apart
Weight is evenly distribted under the big toe, pinky toe, and the heel.
Hands on wall shoulder height ,with elbows bent

","Movement
Stand tall with core engaged
Lift bent knee up
Place leg down, back to starting posistion.
Switch sides","Breath
Inhale to stand tall
Exhale to lift leg  Exhale to lower leg   Inhale to lift other legS","  Tips:Stand tall with quiet shoulders and steady posture, lifting each knee with precision while keeping your pelvis level and your core engaged to prevent swaying or shifting.","Caution:Avoid rocking the pelvis, gripping through the hip flexors, or collapsing through the chest; keep the shoulders relaxed, maintain steady control.kccccontrol,controlthemovementosacrifice alignment for speed.",,
