num,title,subtitle,level,reps_label,reps,works,benefits,imagery,placement,movement,breath,tips,caution,thumb1,thumb2,thumb3,thumb4,thumb5,thumb6,qr_code
1,INVERTED PooP,Subtitle,2,REPS,10,"Works: Calves, Quads, feet and ankles`","Benifits: Enhances balance, strengthens calves and ankles, functional ","Picture yourself riding smoothly up an elevator- no bounccing or woddling, just a clean glide straight up.","PlacemenStand with your back against the wall in a neutral spine, feet slightly turned out in second position, legs comfortably apart, and weight evenly distributed through both feet.

Endt",,,,,placeholder-1-h.jpg,,,,,,
2,Side bend 3,Right,2,REPS,10,"Works: Shoulder stabilizers, obliques, and core ","Benifits:Strenghend shoulders, toned the side body, increases flexibility",Feel your side body stretch like an accordion ipening then power it closedas you press the wall.,Stand with your back against the wall in neutral spine,,,,,placeholder-1-h.jpg,placeholder-2-h.jpg,,,,,
3,Toe Taps ,Right,1,REPS,10,strengthes the deep core,Low impact safe and effective         ,"Picture yourself riding smoothly up an elevator- no bounccing or woddling, just a clean glide straight up.","Wide stance, feet wider than your hips","
Inhale to go into side bend.
Exhale to push away from wall","Inhale to lower one foot down, exhale to bring it back to center, keeping the core engaged and pelvis steady throughout.","Maintain a neutral pelvis as the leg lowers, keeping the abdominals deeply engaged and the ribcage quiet to prevent arching or loss of control.","Avoid lowering the leg too far if the lower back begins to arch or lift, as this can strain the spine and reduce core effectiveness.",placeholder-1-h.jpg,placeholder-2-h.jpg,placeholder-3-h.jpg,,,,
4,Corkscrew 1  basic,Right,1,REPS,10,"Works: abs, shoulders,quads ","Works: abs, shoulders,quads Improves pelvic stabilty, Builds coordination Encourages body awareness ",Paint a crescent moon with your knees . Think of your knees as a paint brush and the ceiling as your canvas.,"Lying on your back in neutral spine
Hands on the wall about 6 inche’s from the floor
Legs at tabletop glued together","From the deepest point of  side bend, push yourself away from the wallto stand tall ,with your arms to the side.",Inhale to go into side bend.,"Keep strong connection through your center and focus on deep activation rather than speed, maintaining a neutral pelvis and shoulders quietly down the back. Move with precision and control so the pelvis stays still as the legs lower and lift, allowing the lower abdominals to work instead of the hip flexors.","Avoid using momentum to swing the legs, and keep the small if control is lost, preventing strain through the lower back and unnecessary pressure on the spine.",placeholder-1-h.jpg,placeholder-2-h.jpg,placeholder-3-h.jpg,placeholder-4-h.jpg,,,
5,Heel Raises 1,Left,1,REPS,10,"Works: calves, ankles, core",Builds ankle and calf strenght Supports balance Preps the feet and ankles for more dynamic movme,Imagine your feet like roots of a tree. As you lift your heels feel your body growing taller like branches reaching for the sun.,"Weight is distributed across the base of your big toe, pinky toe, and heel.",Lift heels    3 Hold at the top 4 Lower heels down,"
nhale to prepare
Exhale to lift up
Inhale to drop heels down","Move with purposeful control as you lift and lower, creating a strong connection through your glutes and abdominals to support the rise, staying tall and balanced throughout the .","Maintain alignment through your ankles, knees, and hips as you lift; avoid rolling out or collapsing inward, and lower with control to preserve joint integrity and prevent strain.",placeholder-1-h.jpg,placeholder-2-h.jpg,placeholder-3-h.jpg,placeholder-4-h.jpg,placeholder-5-h.jpg,,
6,Ad - Abduction 1,Basic,1,REPS,10,"Works: calves, ankles, core
 : ","
 Builds ankle and calf strenght Supports balance Preps the feet and ankles for more dynamic movments: ",Let your leg sweep like its drawing a line in soft sand.Gently brushing in and out.,"Standing in neutral spine facing the wall. Legs are parallel hip width apart.
Weight is distributed across the base of your big toe,pinky toe,and heel. Hands are shoulder height ,with elbows bent.","Engage your core
Bring right leg in crossing midline.
Bring leg out to the side","
Exhale as you cross midline
Inhale to bring leg out to yhe side.","Keep the pelvis stable and hips level as the legs move, engaging the inner and outer thighs with control to avoid shifting or gripping through the lower back.","Avoid letting the pelvis rock or the lower back arch as the legs move, which can reduce effectiveness and place unnecessary strain on the spine and hips.",placeholder-1-h.jpg,placeholder-2-h.jpg,placeholder-3-h.jpg,placeholder-4-h.jpg,placeholder-5-h.jpg,placeholder-6-h.jpg,
7,combo 1,,,,,, ,,,,,,,,,,,,,
8,Leg Curls,Right,1,REPS,10,"Works: Hamstrings, Gluts, Core 
"," Benifts: Strenghtens back of legs, improves knee staility, enhances  balance
",Imagine your squeezing a sponge behind your knee-as your heel curls up you press into the sponge squeesind the sponge dry.,"Standing facing the wall, in neutral spine.Feet are paraelle hip width apart.
Weight evenly distribated under big toe,pinkey toe,and heel.
Hands on wall shoulder height, with elbows slightly bent","Stand tall, shift your weight to your standing leg.
Lift your other heel touching your heel to your glute. Aluternate sides","
Inhale as you stand tall
Exhale as you lift the heel  Inhale as you drop the heel
"," Stand tall with a steady pelvis and strong core activation.
Move with control and precision, prioritizing clear hamstring connection.
Keep your shoulders quietly down the back and your standing leg grounded for stability.",Caution: Avoid swinging or using momentum; stay intentional with each curl and monitor pelvic stability so the hips and lower back don’t feel any strain.,thumb1,,,,,,
10,Marching 1,Basic,1,REPS,20,"Works: Core, Hip flexers, Calves and foot stabilizers","Builds hip flexor strength, improves single-leg stability, reinforces neutral pelvis, and enhances balance and control without gripping through the lower bavk.","Imagine your foot is lifting out of a shallow puddle. Like a soft suction, as you lift the leg up","Standing facing the wall, in neutral spine.
Legs are parallel hip width apart
Weight is evenly distribted under the big toe, pinky toe, and the heel.
Hands on wall shoulder height ,with elbows bent

","Stand tall with core engaged
Lift bent knee up
Place leg down, back to starting posistion.
Switch sides","
Inhale to stand tall
Exhale to lift leg  Exhale to lower leg   Inhale to lift other legS","  Stand tall with quiet shoulders and steady posture, lifting each knee with precision while keeping your pelvis level and your core engaged to prevent swaying or shifting.","Caution:Avoid rocking the pelvis, gripping through the hip flexors, or collapsing through the chest; keep the shoulders relaxed, maintain steady control.kccccontrol,controlthemovementosacrifice alignment for speed.",thumb1,thumb2,,,,,
11,Prancing,Left,1,REPS,20,"Works: abs, glutes, quads","Strengthens postural muscles,prebs body for more balanced -based movements",Think of your thigh being pulled up by a string from your lower belly,"
Standing facing the wall in neutral spine with legs hip width apart.
Weight under feet is evenly distribted underthe big toe, pinky toe, and the heel
Hands on the wall shoulder height ,with elbows  slighty bent.

","Bring left heel up.
Lift both heels up.
Switch sides.","BreathBreath
Inhale to stand tall
Exhale to bring the heel up Inhale to bring the heel  down 
Exhale as you bring other up
","
Inhale to stand tall
Exhale to bring the heel up Inhale to bring the heel  down 
Exhale as you bring other up
","Avoid rolling or sickling through the feet as the heels alternate, keeping weight centered and ankles aligned to prevent strain and maintain clean, controlled .",thumb1,thumb2,thumb3,,,,
